date,EMA
2008-05-29,282.3906
2008-05-30,283.4779
2008-06-02,283.9457
2008-06-03,284.0012
2008-06-04,284.2864
2008-06-05,285.217
2008-06-06,285.1371
2008-06-09,284.6287
2008-06-10,283.992
2008-06-11,282.9874
2008-06-12,282.4487
2008-06-13,282.8479
2008-06-16,283.2711
2008-06-17,283.494
2008-06-18,283.3575
2008-06-19,283.1299
2008-06-20,282.2662
2008-06-23,281.4264
2008-06-24,280.5277
2008-06-25,280.1301
2008-06-26,278.7109
2008-06-27,277.3911
2008-06-30,276.1181
2008-07-01,275.3633
2008-07-02,274.3131
2008-07-03,273.8387
2008-07-07,273.7395
2008-07-08,274.157
2008-07-09,273.9148
2008-07-10,273.6488
2008-07-11,273.0847
2008-07-14,271.9926
2008-07-15,270.7404
2008-07-16,270.5393
2008-07-17,270.2542
2008-07-18,267.5067
2008-07-21,264.4228
2008-07-22,262.0296
2008-07-23,260.4427
2008-07-24,258.3573
2008-07-25,257.252
2008-07-28,255.5422
2008-07-29,254.2813
2008-07-30,253.1209
2008-07-31,251.6436
2008-08-01,250.0255
2008-08-04,248.3295
2008-08-05,247.5998
2008-08-06,247.2496
2008-08-07,246.5879
2008-08-08,246.7483
2008-08-11,247.1718
2008-08-12,247.6395
2008-08-13,247.9395
2008-08-14,248.4717
2008-08-15,249.1758
2008-08-18,249.2468
2008-08-19,248.9385
2008-08-20,248.3968
2008-08-21,247.9798
2008-08-22,247.7965
2008-08-25,247.2685
2008-08-26,246.3681
2008-08-27,245.2869
2008-08-28,244.557
2008-08-29,243.3956
2008-09-02,242.4385
2008-09-03,241.5323
2008-09-04,240.0366
2008-09-05,238.3962
2008-09-08,235.7514
2008-09-09,233.2968
2008-09-10,230.861
2008-09-11,229.593
2008-09-12,228.6325
2008-09-15,227.5819
2008-09-16,227.0647
2008-09-17,225.2382
2008-09-18,224.7602
2008-09-19,224.8088
2008-09-22,223.9447
2008-09-23,223.1214
2008-09-24,222.6554
2008-09-25,222.4483
2008-09-26,221.852
2008-09-29,218.9223
2008-09-30,217.204
2008-10-01,216.1843
2008-10-02,214.2477
2008-10-03,212.3245
2008-10-06,209.8345
2008-10-07,206.3779
2008-10-08,202.8732
2008-10-09,199.2662
2008-10-10,196.1469
2008-10-13,195.6663
2008-10-14,194.3568
2008-10-15,192.0476
2008-10-16,190.6199
2008-10-17,190.2605
2008-10-20,190.2592
2008-10-21,189.4666
2008-10-22,188.4113
2008-10-23,187.2964
2008-10-24,185.6654
2008-10-27,183.7216
2008-10-28,183.8382
2008-10-29,183.4302
2008-10-30,183.1418
2008-10-31,182.8651
2008-11-03,182.0
2008-11-04,182.1941
2008-11-05,181.1899
2008-11-06,179.7549
2008-11-07,178.4528
2008-11-10,176.6843
2008-11-11,174.7346
2008-11-12,171.9932
2008-11-13,170.5199
2008-11-14,169.0885
2008-11-17,167.3205
2008-11-18,165.5919
2008-11-19,163.2045
2008-11-20,160.0595
2008-11-21,157.3511
2008-11-24,154.6623
2008-11-25,153.4051
2008-11-26,152.7472
2008-11-28,152.1935
2008-12-01,150.4043
2008-12-02,149.2211
2008-12-03,148.357
2008-12-04,147.332
2008-12-05,146.8656
2008-12-08,147.3091
2008-12-09,147.8948
2008-12-10,148.5608
2008-12-11,148.7526
2008-12-12,149.6685
2008-12-15,150.2539
2008-12-16,151.4815
2008-12-17,152.1126
2008-12-18,152.4467
2008-12-19,152.7437
2008-12-22,152.3886
2008-12-23,152.1108
2008-12-24,152.0949
2008-12-26,151.9568
2008-12-29,151.6914
2008-12-30,151.7231
2008-12-31,151.9687
2009-01-02,152.8438
2009-01-05,153.957
2009-01-06,155.2513
2009-01-07,155.8468
2009-01-08,156.5374
2009-01-09,156.6789
2009-01-12,156.6932
2009-01-13,156.784
2009-01-14,156.2285
2009-01-15,155.6313
2009-01-16,155.1234
2009-01-20,153.8558
2009-01-21,153.6799
2009-01-22,153.6841
2009-01-23,154.5573
2009-01-26,155.3077
2009-01-27,156.3502
2009-01-28,158.1144
2009-01-29,159.4551
2009-01-30,160.4393
2009-02-02,161.4272
2009-02-03,162.3153
2009-02-04,163.2406
2009-02-05,164.5898
2009-02-06,166.6494
2009-02-09,168.8705
2009-02-10,169.9124
2009-02-11,170.8326
2009-02-12,171.9044
2009-02-13,172.6177
2009-02-17,172.5456
2009-02-18,172.9795
2009-02-19,172.872
2009-02-20,172.9567
2009-02-23,172.2504
2009-02-24,172.3466
2009-02-25,172.2515
2009-02-26,171.9525
2009-02-27,171.7207
2009-03-02,170.9936
2009-03-03,170.2556
2009-03-04,169.2744
2009-03-05,167.7524
2009-03-06,166.5153
2009-03-09,164.5515
2009-03-10,163.6001
2009-03-11,163.2046
2009-03-12,163.1152
2009-03-13,163.0768
2009-03-16,162.8162
2009-03-17,163.3279
2009-03-18,163.6839
2009-03-19,163.855
2009-03-20,164.0204
2009-03-23,165.0508
2009-03-24,165.922
2009-03-25,166.5549
2009-03-26,167.5679
2009-03-27,168.2175
2009-03-30,168.5659
2009-03-31,169.1376
2009-04-01,169.9429
2009-04-02,171.0732
2009-04-03,172.4436
2009-04-06,173.61
2009-04-07,174.2071
2009-04-08,174.9074
2009-04-09,176.0426
2009-04-13,177.3376
2009-04-14,178.0699
2009-04-15,179.2382
2009-04-16,180.7367
2009-04-17,182.2596
2009-04-20,183.0194
2009-04-21,183.8104
2009-04-22,184.6403
2009-04-23,185.4308
2009-04-24,186.3753
2009-04-27,187.0608
2009-04-28,187.5739
2009-04-29,188.4089
2009-04-30,189.3793
2009-05-01,190.1484
2009-05-04,191.2401
2009-05-05,192.2762
2009-05-06,193.2365
2009-05-07,193.7777
2009-05-08,194.7794
2009-05-11,195.7168
2009-05-12,196.1364
